ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_Nuclei,Parent_SecratoryMembrane
4,49,809.9852941176471,458.3970588235294,49,49,49
4,50,829.1783439490446,470.3949044585987,50,50,50
4,51,1181.5639534883721,531.5,51,51,51
4,52,832.3783783783783,548.0540540540541,52,52,52
4,53,844.074074074074,546.074074074074,53,53,53
4,54,862.1739482200647,584.9093851132686,54,54,54
4,55,542.662109375,645.7265625,55,55,55
4,56,539.5884057971015,706.0188405797102,56,56,56
4,57,1235.4146825396826,724.0357142857143,57,57,57
4,58,597.939393939394,741.280303030303,58,58,58
4,59,933.9351145038167,725.763358778626,59,59,59
4,60,447.1769436997319,742.6890080428955,60,60,60
4,61,399.47131147540983,756.1844262295082,61,61,61
4,62,713.8908536585366,765.159756097561,62,62,62
4,63,1195.8070953436807,790.9512195121952,63,63,63
4,64,533.9392523364486,866.6666666666666,64,64,64
4,65,796.6131386861314,882.3576642335767,65,65,65
4,66,479.08447204968945,883.1813664596274,66,66,66
4,67,526.3225806451613,904.5186104218362,67,67,67
4,68,446.342776203966,923.4844192634561,68,68,68
4,69,952.4415094339622,973.2075471698113,69,69,69
4,70,885.0964566929134,999.3129921259842,70,70,70
4,71,597.8167388167388,1000.5440115440116,71,71,71
4,72,916.5357142857143,997.8035714285714,72,72,72
4,73,1000.5,999.8703703703703,73,73,73
5,1,186.03846153846155,21.243589743589745,1,1,1
5,2,365.5443786982249,12.301775147928995,2,2,2
5,3,256.83168316831683,23.346534653465348,3,3,3
5,4,198.12173913043478,25.37391304347826,4,4,4
5,5,1317.0743801652893,23.801652892561982,5,5,5
5,6,1286.857142857143,37.66326530612245,6,6,6
5,7,1319.9761904761904,39.38095238095238,7,7,7
5,8,396.1020408163265,52.751020408163264,8,8,8
5,9,1008.5858585858585,67.27272727272727,9,9,9
5,10,332.86684782608694,74.89402173913044,10,10,10
5,11,497.697247706422,71.0,11,11,11
5,12,688.7058823529412,66.32352941176471,12,12,12
5,13,1074.787234042553,77.86170212765957,13,13,13
5,14,488.1666666666667,81.60317460317461,14,14,14
5,15,829.3647441104793,88.73679935012186,15,15,15
5,16,678.9594594594595,97.50675675675676,16,16,16
5,17,348.3854166666667,105.76041666666667,17,17,17
5,18,781.2608695652174,107.95652173913044,18,18,18
5,19,731.271186440678,110.53389830508475,19,19,19
5,20,606.6170468187275,98.23409363745498,20,20,20
5,21,1055.8173076923076,123.6826923076923,21,21,21
5,22,1323.7125,124.8875,22,22,22
5,23,556.6283185840708,120.42477876106194,23,23,23
5,24,408.44,139.95111111111112,24,24,24
5,25,935.8875,133.2625,25,25,25
5,26,1047.247311827957,141.7311827956989,26,26,26
5,27,25.738317757009344,145.55140186915887,27,27,27
5,28,322.08,155.952,28,28,28
5,29,771.7675746924428,169.94112478031636,29,29,29
5,30,525.1153846153846,174.66666666666666,30,30,30
5,31,1055.9888412017167,198.36309012875537,31,31,31
5,32,701.6546125461255,190.38154981549815,32,32,32
5,33,1017.1896551724138,216.48275862068965,33,33,33
5,34,545.8988326848249,220.7626459143969,34,34,34
5,35,1126.4969879518073,213.86144578313252,35,35,35
5,36,1143.914590747331,214.9964412811388,36,36,36
5,37,685.0577319587629,223.4618556701031,37,37,37
5,38,993.3205128205128,228.75641025641025,38,38,38
5,39,660.2461695607763,213.9805924412666,39,39,39
5,40,812.1458333333334,238.85416666666666,40,40,40
5,41,996.5189873417721,238.22784810126583,41,41,41
5,42,945.2558139534884,234.22093023255815,42,42,42
5,43,590.6379310344828,256.1896551724138,43,43,43
5,44,1029.1571428571428,258.64285714285717,44,44,44
5,45,775.3571428571429,263.3333333333333,45,45,45
5,46,341.5934959349593,266.9593495934959,46,46,46
5,47,1038.864406779661,265.06779661016947,47,47,47
5,48,798.4658971668415,282.2182581322141,48,48,48
5,49,994.0153714773697,300.59180187873613,49,49,49
5,50,638.197549770291,288.3843797856049,50,50,50
5,51,660.1935081148564,300.49313358302123,51,51,51
5,52,919.2375,316.2375,52,52,52
5,53,1085.2491389207808,324.6234213547646,53,53,53
5,54,847.5277777777778,339.23148148148147,54,54,54
5,55,757.9867957746479,342.5228873239437,55,55,55
5,56,949.5111111111111,347.4888888888889,56,56,56
5,57,945.035294117647,356.9529411764706,57,57,57
5,58,1052.6279069767443,358.09302325581393,58,58,58
5,59,1063.1237113402062,358.4484536082474,59,59,59
5,60,1120.8340611353713,369.06259097525475,60,60,60
5,61,881.9090909090909,392.987012987013,61,61,61
5,62,824.6521739130435,402.5869565217391,62,62,62
5,63,924.3437125748503,421.0479041916168,63,63,63
5,64,1001.4858125537403,425.8641444539983,64,64,64
5,65,895.5387400434468,458.98696596669083,65,65,65
5,66,21.794871794871796,438.008547008547,66,66,66
5,67,737.8267716535433,444.5196850393701,67,67,67
5,68,738.2719298245614,455.0,68,68,68
5,69,142.33534743202418,456.4652567975831,69,69,69
5,70,756.4089521871821,488.971007121058,70,70,70
5,71,1136.625,496.84375,71,71,71
5,72,648.3518518518518,495.31481481481484,72,72,72
5,73,1002.0976361767729,497.8879753340185,73,73,73
5,74,1052.7252066115702,496.28409090909093,74,74,74
5,75,196.1873015873016,515.468253968254,75,75,75
5,76,194.86341463414635,533.6341463414634,76,76,76
5,77,1248.6264367816093,537.0,77,77,77
5,78,1084.8148148148148,544.2685185185185,78,78,78
5,79,1260.7762645914397,554.5,79,79,79
5,80,1204.1347368421052,546.2315789473685,80,80,80
